experiment_accession	run_accession	description
SRX5103196	SRR8288848	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103195	SRR8288849	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103771	SRR8288852	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103770	SRR8288853	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103768	SRR8288855	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103760	SRR8288863	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103758	SRR8288865	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_31,600 Shigella flexneri_31,600 Staphylococcus aureus_31,600
SRX5103757	SRR8288866	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103756	SRR8288867	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103755	SRR8288868	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103753	SRR8288870	NextSeq 500 sequencing: DNA sequencing of human plasma at various dillutions: SS-10413 1:4
SRX5103752	SRR8288871	NextSeq 500 sequencing: DNA sequencing of human plasma at various dillutions: SS-10413 1:2
SRX5103748	SRR8288875	NextSeq 500 sequencing: DNA sequencing of human plasma at various dillutions: SS-15683 1:8
SRX5103747	SRR8288876	NextSeq 500 sequencing: DNA sequencing of human plasma at various dillutions: SS-15683 1:4
SRX5103746	SRR8288877	NextSeq 500 sequencing: DNA sequencing of human plasma at various dillutions: SS-15683 1:2
SRX5103745	SRR8288878	NextSeq 500 sequencing: DNA sequencing of human plasma at various dillutions: SS-15683 1:1
SRX5103739	SRR8288884	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103735	SRR8288888	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103733	SRR8288889	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103731	SRR8288891	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103729	SRR8288894	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103726	SRR8288897	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103721	SRR8288901	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103720	SRR8288902	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103725	SRR8288904	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_3,160 Shigella flexneri_3,160 Staphylococcus aureus_3,160 Plasmodium falciparum_3,160 Clostridium sporogenes_3,160 Cryptosporidium parvum_3,160 Staphylococcus epidermidis_3,160 Aspergillus fumigatus_3,160 Human mastadenovirus B_3,160 Escherichia coli_3,160 Bordetella pertussis_3,160 Salmonella enterica_3,160 Leishmania major_3,160 Pseudomonas aeruginosa_3,160
SRX5103715	SRR8288908	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103712	SRR8288911	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103708	SRR8288915	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103706	SRR8288917	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103694	SRR8288929	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103691	SRR8288932	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103683	SRR8288940	NextSeq 500 sequencing: DNA sequencing of human plasma with CMV qPCR-inferred concentration of 28212.0 IU/ml
SRX5103680	SRR8288943	NextSeq 500 sequencing: DNA sequencing of human plasma with CMV qPCR-inferred concentration of 198.0 IU/ml
SRX5103677	SRR8288946	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103676	SRR8288947	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103673	SRR8288950	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103672	SRR8288951	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103670	SRR8288953	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103667	SRR8288956	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103666	SRR8288957	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103665	SRR8288958	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103663	SRR8288960	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103660	SRR8288963	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103658	SRR8288965	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103656	SRR8288967	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103650	SRR8288973	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: nan
SRX5103647	SRR8288976	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103646	SRR8288977	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103645	SRR8288978	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103643	SRR8288980	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103642	SRR8288981	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103641	SRR8288982	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103639	SRR8288984	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: Escherichia coli
SRX5103637	SRR8288986	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Shigella flexneri_1000 Escherichia coli_3000
SRX5103636	SRR8288987	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Shigella flexneri_1000 Escherichia coli_3000
SRX5103634	SRR8288989	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Shigella flexneri_3000 Escherichia coli_1000
SRX5103625	SRR8288998	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103623	SRR8289000	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103621	SRR8289002	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103620	SRR8289003	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Staphylococcus epidermidis_1000 Staphylococcus aureus_1000
SRX5103616	SRR8289007	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103615	SRR8289008	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103614	SRR8289009	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103608	SRR8289015	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103600	SRR8289023	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103599	SRR8289024	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103595	SRR8289028	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103594	SRR8289029	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103592	SRR8289031	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103588	SRR8289035	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103587	SRR8289036	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103585	SRR8289038	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103582	SRR8289041	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103580	SRR8289043	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103578	SRR8289045	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103577	SRR8289046	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103576	SRR8289047	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103575	SRR8289048	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103573	SRR8289050	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103570	SRR8289053	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103568	SRR8289055	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103567	SRR8289056	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103565	SRR8289058	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103564	SRR8289059	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
